,Sample,Site ,Transect,Temperature,pH,Conductivity ,Carbon,Nitrogen,GWC,Na  ,Mg  ,K  ,Ca  ,Sr  ,Ba  , P,S,Se  ,Al  ,Tl  ,Pb  ,B,As  ,V  ,Cr  ,Mn  ,Fe  ,Co  ,Ni  ,Cu,Zn  ,Cd  ,U  ,x91As,x82Se,x206Pb  ,x208Pb  ,x68Zn  
TR162,TR162,Tramway Ridge,TR1,62,4.41,228.4,1.015,0.253,44.82,3338.095,2258.68,2435.7,2557.92,23.825,943.805,1730.17,968.652,10.566,117670.088,0.17,29.736,76.503,11.455,1.294,50.252,1809.18,24367.393,1.243,0.655,1.093,55.024,2.501,12.119,1.41,19.94,33.273,32.49,66.828
TR152,TR152,Tramway Ridge,TR1,52,4.74,455,2.078,0.461,63.52,8281.324,2722.362,5979.546,5109.474,32.352,1237.094,1513.046,865.781,11.225,112740.323,0.273,29.116,81.826,14.091,2.413,39.113,2177.696,17127.757,1.428,0.552,0.941,54.026,5.17,11.502,4.05,20.369,32.603,31.642,69.679
TR142,TR142,Tramway Ridge,TR1,42,4.75,216.4,1.123,0.367,39.02,4047.35,2243.022,2692.619,5053.736,27.305,1161.169,1552.572,597.407,13.879,142524.348,0.238,23.971,78.143,16.553,1.73,17.223,1366.467,10924.022,1.058,0.478,0.487,36.329,4.529,14.628,3.64,25.213,26.884,26.1,49.149
TR132,TR132,Tramway Ridge,TR1,32,4.04,183.4,0.638,0.132,29.08,9613.008,3176.773,6519.03,4375.758,50.597,298.781,1815.532,956.104,2.995,46659.14,0.106,27.691,81.665,8.309,2.724,44.199,1663.876,39936.289,1.94,2.844,1.781,74.481,0.771,5.152,6.24,5.03,30.97,30.023,79.655
TR264,TR264,Tramway Ridge,TR2,64,6.2,313,2.904,0.404,41.64,21195.863,4201.867,14834.971,6711.516,99.537,374.685,1283.913,866.023,3.838,76003.437,0.123,49.926,82.114,11.163,8.546,58.341,1732.134,69908.916,2.585,3,2.255,121.961,2.544,8.782,9.132,6.199,55.925,54.064,123.976
TR244,TR244,Tramway Ridge,TR2,44,4.72,218,0.338,0.057,43.19,8422.667,5531.541,6283.748,7687.348,50.286,637.617,2538.689,264.398,8.152,84470.269,0.091,10.344,82.945,9.674,0.759,41.99,1174.66,17816.478,1.489,0.75,0.916,48.533,0.423,11.735,2.122,14.874,11.55,10.855,58.073
TR234,TR234,Tramway Ridge,TR2,34,5.75,957,1.294,0.305,42.33,12882.745,2435.435,9131.028,3322.22,62.984,283.63,1227.463,799.177,2.45,93913.38,0.202,13.743,84.522,5.071,4.738,50.47,2024.355,57661.994,2.044,1.626,2.259,113.999,4.22,6.611,3.139,4.508,15.377,14.431,114.749
TR224,TR224,Tramway Ridge,TR2,24,4.53,290,0.355,0.149,49.83,2693.617,2299.258,2109.439,1568.983,44.925,295.181,873.164,1598.221,2.393,39088.427,0.169,13.697,79.89,5.35,7.285,23.373,2540.601,61122.351,2.402,0.96,1.646,85.937,0.948,5.485,4.236,4.832,15.403,14.385,90.237
WC50,WC50,Western Crater,WC,50,9.2,6.39,1.156,0.206,23.03,14740.547,3482.424,10330.685,4535.759,68.456,257.915,1249.752,1781.111,2.774,79960.45,0.08,35.97,81.289,7.416,6.659,29.254,1816.339,75346.108,2.44,1.707,3.087,121.98,0.716,7.464,5.481,4.497,40.238,39.11,121.815
WC40,WC40,Western Crater,WC,40,8.88,4.26,0.178,0.037,24.26,7357.252,6449.164,5703.581,8036.959,59.711,589.806,2535.137,137.89,9.128,73970.092,0.072,9.579,78.971,10.983,1.246,57.738,1207.972,19034.804,1.618,0.928,0.809,45.918,0.419,11.193,2.661,15.803,10.677,10.024,54.086
WC35,WC35,Western Crater,WC,35,8.08,4.89,0.287,0.052,26.42,10993.123,5445.726,8383.897,7907.702,52.737,640.351,2252.156,290.487,8.188,83805.662,0.099,10.791,81.408,10.044,0,64.816,1373.883,17977.07,1.486,1.596,0.986,46.432,0.467,11.616,1.926,15.171,12.116,11.342,55.681
WC30,WC30,Western Crater,WC,30,7.62,5.09,0.115,0.026,19.21,11190.426,5214.091,7430.697,7018.928,47.565,353.47,2270.54,248.89,5.893,59021.521,0.074,6.668,81.269,6.944,0,75.629,1041.135,17488.914,1.625,1.16,1.131,52.473,0.326,8.062,1.599,10.141,7.46,6.999,57.924
WC20,WC20,Western Crater,WC,20,7.43,5.63,0.165,0.037,35.88,10570.557,7565.6,8032.508,8597.018,52.86,507.75,2783.775,219.324,7.336,87388.592,0.065,7.977,79.717,8.565,2.455,87.779,1369.972,21114.197,2.174,1.417,1.296,65.978,0.382,10.216,1.72,12.512,8.898,8.356,72.283
WC10,WC10,Western Crater,WC,10,6.93,6.39,0.082,0.023,30.13,10365.337,5277.528,7864.462,7752.413,47.927,388.232,2646.477,245.425,6.824,79692.294,0.045,6.582,80.877,8.351,0.836,59.748,1106.674,20184.889,1.855,1.802,1.111,58.086,0.264,9.127,1.793,11.625,7.335,6.889,63.533
